Names	switch_no_tresh	switch_with_tresh	mean_no_tresh	mean_with_tresh	vari_no_tresh	vari_with_tresh	devi_no_tresh	devi_with_tresh
479762_rfMRI_REST2	0.2543157894736842	0.12631578947368421	-0.010101010101010102	0.6111111111111112	0.9998979695949394	0.6265432098765431	0.9999489834961278	0.7915448249319448
647858_rfMRI_REST2	0.2505263157894737	0.12126315789473684	-0.006734006734006734	0.6355218855218855	0.9999546531533063	0.5961119330227075	0.9999773263196052	0.7720828537292532
151526_rfMRI_REST2	0.256	0.11536842105263158	0.005050505050505051	0.6405723905723906	0.9999744923987347	0.5896670124363727	0.9999872461180366	0.7678977877532742
735148_rfMRI_REST2	0.2551578947368421	0.09978947368421053	-0.010101010101010102	0.7112794612794613	0.9998979695949394	0.49408152796199933	0.9999489834961278	0.7029093312526157
104416_rfMRI_REST1	0.24378947368421053	0.104	0.021043771043771045	0.6961279461279462	0.9995571597002574	0.5154058826196872	0.999778555331258	0.7179177408447901
506234_rfMRI_REST1	0.2538947368421053	0.112	-0.01430976430976431	0.6658249158249159	0.9997952306453988	0.5566771814667438	0.9998976100808517	0.7461080226527147
192237_rfMRI_REST2	0.2517894736842105	0.053052631578947365	0.04377104377104377	0.8636363636363636	0.9980840957271933	0.2541322314049587	0.9990415885873787	0.5041152957458827
146533_rfMRI_REST2	0.26105263157894737	0.05136842105263158	-0.003367003367003367	0.8644781144781145	0.9999886632883267	0.252677589588364	0.9999943316280981	0.5026704582411463
143830_rfMRI_REST1	0.2513684210526316	0.07915789473684211	-0.0008417508417508417	0.7575757575757576	0.9999992914555206	0.4260789715335169	0.9999996457276975	0.6527472493496368
760551_rfMRI_REST2	0.24294736842105263	0.10821052631578948	0.006734006734006734	0.6481481481481481	0.9999546531533063	0.5799039780521262	0.9999773263196052	0.761514266479707
101915_rfMRI_REST2	0.24042105263157895	0.04926315789473684	-0.004208754208754209	0.8585858585858586	0.9999822863880102	0.2628303234363841	0.9999911431547832	0.5126697996141221
127731_rfMRI_REST2	0.2551578947368421	0.10821052631578948	0.021043771043771045	0.696969696969697	0.9995571597002574	0.5142332415059688	0.999778555331258	0.7171005797696505
191942_rfMRI_REST2	0.24168421052631578	0.061894736842105266	-0.0016835016835016834	0.8097643097643098	0.9999971658220814	0.344281762631931	0.9999985829100366	0.5867552834290723
182032_rfMRI_REST2	0.24547368421052632	0.1406315789473684	-0.025252525252525252	0.5925925925925926	0.9993623099683704	0.6488340192043894	0.9996811041368995	0.8055023396641312
518746_rfMRI_REST1	0.25263157894736843	0.048842105263157895	0.0008417508417508417	0.8712121212121212	0.9999992914555206	0.24098943985307614	0.9999996457276975	0.4909067527067398
116726_rfMRI_REST1	0.2488421052631579	0.03031578947368421	0.009259259259259259	0.92003367003367	0.9999142661179697	0.15353804600437598	0.9999571321401581	0.3918393114586335
660951_rfMRI_REST2	0.25684210526315787	0.08926315789473684	0.010101010101010102	0.73989898989899	0.9998979695949394	0.4525494847464545	0.9999489834961278	0.6727179830705097
178647_rfMRI_REST2	0.24589473684210525	0.024842105263157895	-0.003367003367003367	0.9444444444444444	0.9999886632883267	0.10802469135802467	0.9999943316280981	0.32867109906108977
